id,neighbourhood_group,room_type,price
77936,Manhattan,Private room,150
78919,Brooklyn,Entire home/apt,135
79067,Brooklyn,Entire home/apt,350
79782,Brooklyn,Private room,120
80493,Manhattan,Private room,71
80684,Brooklyn,Private room,349
80700,Brooklyn,Private room,349
80924,Brooklyn,Entire home/apt,165
81739,Brooklyn,Private room,249
82549,Brooklyn,Private room,100
82550,Brooklyn,Entire home/apt,200
82638,Manhattan,Entire home/apt,169
82928,Brooklyn,Entire home/apt,185
83243,Brooklyn,Entire home/apt,65
83446,Brooklyn,Entire home/apt,130
83722,Brooklyn,Entire home/apt,199
83847,Manhattan,Entire home/apt,225
84010,Brooklyn,Private room,179
84059,Brooklyn,Entire home/apt,150
84659,Manhattan,Entire home/apt,139
84905,Manhattan,Private room,95
85094,Brooklyn,Entire home/apt,79
86215,Manhattan,Entire home/apt,150
89427,Brooklyn,Entire home/apt,650
89621,Brooklyn,Entire home/apt,90
93313,Brooklyn,Entire home/apt,120
94035,Queens,Private room,80
94209,Brooklyn,Entire home/apt,100
94477,Brooklyn,Entire home/apt,175
94783,Brooklyn,Entire home/apt,120
95747,Brooklyn,Entire home/apt,140
95883,Brooklyn,Entire home/apt,200
96471,Brooklyn,Private room,165
98330,Manhattan,Entire home/apt,125
98663,Manhattan,Entire home/apt,130
99070,Manhattan,Shared room,65
99085,Brooklyn,Entire home/apt,123
100002,Manhattan,Private room,67
100184,Queens,Private room,50
100186,Brooklyn,Entire home/apt,130
101053,Brooklyn,Private room,100
102995,Manhattan,Entire home/apt,212
103161,Brooklyn,Entire home/apt,190
103311,Brooklyn,Private room,599
103806,Manhattan,Entire home/apt,249
105469,Queens,Private room,70
105510,Brooklyn,Entire home/apt,100
106363,Manhattan,Private room,60
106647,Brooklyn,Entire home/apt,135
107630,Brooklyn,Entire home/apt,175
107895,Manhattan,Entire home/apt,120
110739,Manhattan,Entire home/apt,169
112100,Brooklyn,Entire home/apt,165
112304,Manhattan,Private room,90
112359,Manhattan,Entire home/apt,225
112435,Brooklyn,Private room,95
113265,Brooklyn,Private room,55
113945,Manhattan,Private room,85
114123,Brooklyn,Entire home/apt,199
114229,Manhattan,Entire home/apt,211
114969,Manhattan,Entire home/apt,145
115535,Manhattan,Private room,65
115678,Manhattan,Entire home/apt,99
115748,Queens,Entire home/apt,110
116940,Brooklyn,Entire home/apt,80
117425,Brooklyn,Entire home/apt,150
118061,Brooklyn,Entire home/apt,110
118430,Manhattan,Private room,290
118680,Manhattan,Private room,87
120362,Brooklyn,Entire home/apt,190
121687,Brooklyn,Entire home/apt,200
121861,Brooklyn,Entire home/apt,165
123784,Manhattan,Entire home/apt,110
125053,Manhattan,Entire home/apt,395
125163,Brooklyn,Private room,99
125594,Brooklyn,Private room,39
126443,Manhattan,Entire home/apt,189
126816,Manhattan,Private room,85
127387,Brooklyn,Entire home/apt,260
128975,Manhattan,Entire home/apt,122
131154,Brooklyn,Entire home/apt,165
132516,Queens,Entire home/apt,97
132570,Manhattan,Entire home/apt,170
132695,Brooklyn,Entire home/apt,125
133025,Manhattan,Private room,130
134934,Brooklyn,Entire home/apt,225
135393,Brooklyn,Private room,50
135465,Brooklyn,Entire home/apt,170
135706,Manhattan,Entire home/apt,132
136493,Brooklyn,Entire home/apt,250
138216,Brooklyn,Entire home/apt,141
139624,Brooklyn,Entire home/apt,64
140133,Brooklyn,Entire home/apt,249
140425,Brooklyn,Private room,79
140973,Manhattan,Entire home/apt,185
141154,Brooklyn,Entire home/apt,120
141335,Brooklyn,Entire home/apt,495
141890,Manhattan,Entire home/apt,375
141984,Manhattan,Entire home/apt,175
142069,Manhattan,Entire home/apt,150
144087,Manhattan,Entire home/apt,259
144148,Manhattan,Private room,96
145064,Brooklyn,Entire home/apt,145
145188,Manhattan,Entire home/apt,200
145994,Manhattan,Entire home/apt,95
146754,Brooklyn,Entire home/apt,250
147586,Manhattan,Entire home/apt,295
148201,Manhattan,Entire home/apt,175
148259,Brooklyn,Entire home/apt,451
148825,Manhattan,Entire home/apt,165
149287,Manhattan,Entire home/apt,250
149777,Bronx,Entire home/apt,77
150804,Manhattan,Entire home/apt,250
151199,Queens,Entire home/apt,129
151478,Brooklyn,Private room,98
152071,Brooklyn,Entire home/apt,150
152078,Manhattan,Private room,95
152259,Manhattan,Private room,55
152263,Manhattan,Entire home/apt,300
152520,Queens,Private room,42
153405,Brooklyn,Entire home/apt,125
153780,Manhattan,Private room,175
154934,Manhattan,Private room,75
155296,Brooklyn,Entire home/apt,255
157673,Brooklyn,Entire home/apt,72
158061,Brooklyn,Private room,165
158176,Brooklyn,Entire home/apt,165
158290,Brooklyn,Private room,75
158913,Brooklyn,Entire home/apt,130
158955,Brooklyn,Entire home/apt,139
159749,Brooklyn,Private room,88
159815,Brooklyn,Private room,80
159913,Manhattan,Private room,150
160609,Manhattan,Entire home/apt,200
160994,Manhattan,Entire home/apt,200
161366,Queens,Private room,42
161394,Brooklyn,Private room,90
161996,Manhattan,Entire home/apt,295
162493,Brooklyn,Entire home/apt,450
162508,Brooklyn,Entire home/apt,130
163627,Brooklyn,Private room,89
163809,Manhattan,Entire home/apt,198
163814,Manhattan,Entire home/apt,99
163836,Brooklyn,Private room,46
164989,Manhattan,Private room,140
165080,Brooklyn,Entire home/apt,500
165461,Manhattan,Private room,75
165824,Queens,Private room,33
166006,Manhattan,Entire home/apt,250
166172,Brooklyn,Private room,60
166541,Manhattan,Private room,75
166983,Brooklyn,Entire home/apt,350
167013,Manhattan,Entire home/apt,205
167017,Brooklyn,Entire home/apt,219
167222,Brooklyn,Private room,60
167482,Manhattan,Entire home/apt,185
168084,Manhattan,Entire home/apt,190
168123,Brooklyn,Entire home/apt,105
168546,Manhattan,Entire home/apt,250
168810,Manhattan,Entire home/apt,175
169002,Manhattan,Private room,65
169152,Brooklyn,Entire home/apt,75
169306,Bronx,Private room,37
169464,Brooklyn,Entire home/apt,85
169483,Brooklyn,Entire home/apt,106
170420,Manhattan,Entire home/apt,79
170761,Brooklyn,Private room,85
171776,Manhattan,Private room,170
172700,Manhattan,Private room,115
172870,Manhattan,Private room,89
173072,Manhattan,Shared room,49
173151,Brooklyn,Private room,91
173742,Manhattan,Entire home/apt,400
174527,Brooklyn,Entire home/apt,150
174966,Manhattan,Entire home/apt,2000
176135,Brooklyn,Entire home/apt,97
176653,Manhattan,Private room,100
176962,Brooklyn,Entire home/apt,179
177421,Brooklyn,Entire home/apt,500
177495,Manhattan,Entire home/apt,429
177606,Manhattan,Entire home/apt,189
179670,Manhattan,Private room,120
179741,Manhattan,Entire home/apt,300
180507,Queens,Entire home/apt,107
180792,Queens,Entire home/apt,95
181972,Manhattan,Entire home/apt,199
182069,Manhattan,Entire home/apt,120
182095,Manhattan,Entire home/apt,199
182177,Bronx,Entire home/apt,125
182649,Brooklyn,Private room,70
185266,Brooklyn,Private room,75
187488,Manhattan,Private room,100
187566,Brooklyn,Entire home/apt,99
187986,Manhattan,Entire home/apt,250
188146,Brooklyn,Entire home/apt,350
188661,Brooklyn,Entire home/apt,170
188674,Manhattan,Entire home/apt,165
189135,Manhattan,Private room,99
189181,Manhattan,Private room,255
189732,Brooklyn,Entire home/apt,169
189787,Brooklyn,Entire home/apt,99
190267,Manhattan,Entire home/apt,169
190542,Brooklyn,Entire home/apt,160
190968,Brooklyn,Entire home/apt,215
190974,Brooklyn,Entire home/apt,130
191075,Manhattan,Private room,110
193105,Manhattan,Private room,150
193333,Brooklyn,Private room,65
193393,Queens,Private room,75
193853,Manhattan,Entire home/apt,149
194154,Manhattan,Private room,89
195123,Manhattan,Private room,50
195233,Brooklyn,Private room,43
195240,Brooklyn,Private room,42
195578,Brooklyn,Private room,85
195971,Brooklyn,Entire home/apt,139
195989,Brooklyn,Private room,105
196010,Brooklyn,Entire home/apt,265
197155,Manhattan,Entire home/apt,149
197753,Manhattan,Private room,68
197942,Brooklyn,Entire home/apt,99
199195,Manhattan,Private room,75
199312,Brooklyn,Private room,100
200645,Manhattan,Shared room,90
200955,Manhattan,Entire home/apt,160
201992,Brooklyn,Entire home/apt,190
202273,Brooklyn,Private room,67
203901,Manhattan,Entire home/apt,190
204065,Brooklyn,Entire home/apt,248
204833,Brooklyn,Private room,100
204959,Manhattan,Private room,95
205043,Manhattan,Private room,150
205485,Brooklyn,Entire home/apt,145
205735,Brooklyn,Private room,41
205867,Brooklyn,Entire home/apt,120
206071,Bronx,Private room,50
206316,Brooklyn,Entire home/apt,157
206772,Brooklyn,Entire home/apt,195
206957,Brooklyn,Entire home/apt,70
208148,Brooklyn,Entire home/apt,185
208889,Brooklyn,Entire home/apt,145
209310,Queens,Private room,50
211078,Brooklyn,Entire home/apt,185
211974,Manhattan,Entire home/apt,250
212109,Manhattan,Private room,80
212178,Manhattan,Entire home/apt,230
212544,Brooklyn,Entire home/apt,100
213272,Brooklyn,Private room,40
213330,Manhattan,Private room,200
214917,Staten Island,Private room,80
215560,Brooklyn,Private room,79
215784,Queens,Entire home/apt,95
215907,Manhattan,Entire home/apt,300
217580,Brooklyn,Entire home/apt,100
218358,Manhattan,Private room,80
219066,Brooklyn,Entire home/apt,110
219482,Brooklyn,Entire home/apt,172
219793,Manhattan,Entire home/apt,199
219818,Manhattan,Entire home/apt,199
219922,Manhattan,Private room,100
220351,Manhattan,Private room,55
220563,Brooklyn,Private room,75
220946,Manhattan,Entire home/apt,146
221043,Manhattan,Private room,250
221097,Brooklyn,Entire home/apt,116
221618,Manhattan,Private room,150
222054,Brooklyn,Private room,120
222304,Manhattan,Entire home/apt,199
223930,Brooklyn,Entire home/apt,150
224004,Manhattan,Private room,69
224006,Manhattan,Private room,300
224510,Brooklyn,Entire home/apt,230
225297,Manhattan,Entire home/apt,125
225306,Brooklyn,Private room,79
225887,Brooklyn,Private room,130
225926,Brooklyn,Private room,239
225976,Staten Island,Entire home/apt,75
226021,Brooklyn,Entire home/apt,220
227715,Brooklyn,Entire home/apt,80
227735,Manhattan,Entire home/apt,288
228317,Brooklyn,Entire home/apt,135
228496,Manhattan,Entire home/apt,225
228517,Manhattan,Private room,110
228925,Brooklyn,Entire home/apt,100
228979,Manhattan,Private room,130
229367,Manhattan,Private room,89
229874,Brooklyn,Entire home/apt,200
230321,Brooklyn,Entire home/apt,80
230854,Bronx,Private room,50
230877,Manhattan,Entire home/apt,135
230956,Manhattan,Private room,90
231414,Manhattan,Private room,270
232612,Brooklyn,Entire home/apt,110
232618,Manhattan,Entire home/apt,145
233189,Manhattan,Entire home/apt,179
233638,Queens,Private room,55
233662,Manhattan,Private room,110
234184,Manhattan,Entire home/apt,325
234870,Queens,Private room,75
235552,Brooklyn,Entire home/apt,300
235651,Manhattan,Private room,130
235951,Manhattan,Entire home/apt,190
235960,Manhattan,Entire home/apt,200
236671,Brooklyn,Entire home/apt,180
236788,Brooklyn,Entire home/apt,350
236806,Manhattan,Entire home/apt,160
237127,Manhattan,Entire home/apt,195
237210,Manhattan,Entire home/apt,241
239055,Manhattan,Entire home/apt,300
239733,Queens,Entire home/apt,75
239766,Manhattan,Entire home/apt,100
239826,Manhattan,Entire home/apt,399
239883,Brooklyn,Private room,85
239899,Brooklyn,Entire home/apt,80
240800,Brooklyn,Private room,55
241140,Brooklyn,Private room,438
241159,Brooklyn,Entire home/apt,110
241862,Manhattan,Entire home/apt,200
242532,Brooklyn,Private room,279
242643,Brooklyn,Entire home/apt,137
243229,Brooklyn,Entire home/apt,280
243708,Brooklyn,Entire home/apt,199
245504,Manhattan,Private room,71
245544,Bronx,Private room,42
245574,Brooklyn,Entire home/apt,180
245607,Manhattan,Entire home/apt,226
246134,Brooklyn,Private room,85
246351,Manhattan,Entire home/apt,135
246916,Queens,Entire home/apt,79
246938,Manhattan,Entire home/apt,154
248865,Brooklyn,Entire home/apt,199
248871,Manhattan,Entire home/apt,700
249414,Manhattan,Entire home/apt,246
249618,Manhattan,Private room,125
249867,Brooklyn,Private room,100
250259,Brooklyn,Entire home/apt,295
250311,Brooklyn,Private room,150
250323,Manhattan,Entire home/apt,119
250536,Manhattan,Private room,125
250537,Manhattan,Entire home/apt,400
250801,Manhattan,Entire home/apt,850
251262,Brooklyn,Private room,129
251277,Manhattan,Private room,140
252076,Manhattan,Private room,115
252607,Manhattan,Entire home/apt,200
253332,Brooklyn,Entire home/apt,96
253466,Brooklyn,Entire home/apt,199
253471,Brooklyn,Entire home/apt,199
253475,Brooklyn,Entire home/apt,199
253548,Brooklyn,Private room,69
253590,Manhattan,Entire home/apt,185
253623,Manhattan,Private room,81
253800,Brooklyn,Entire home/apt,199
253803,Brooklyn,Entire home/apt,199
253806,Brooklyn,Entire home/apt,199
253811,Brooklyn,Entire home/apt,199
253815,Brooklyn,Entire home/apt,199
253828,Brooklyn,Private room,349
253839,Brooklyn,Private room,249
253842,Brooklyn,Private room,299
253846,Brooklyn,Private room,179
254131,Queens,Private room,54
254168,Brooklyn,Private room,599
254409,Brooklyn,Entire home/apt,110
255024,Brooklyn,Entire home/apt,220
255476,Brooklyn,Private room,89
255601,Brooklyn,Entire home/apt,170
255957,Manhattan,Entire home/apt,495
256078,Queens,Entire home/apt,80
256328,Manhattan,Entire home/apt,760
256369,Brooklyn,Private room,98
257097,Brooklyn,Entire home/apt,125
257568,Brooklyn,Private room,48
257787,Brooklyn,Private room,64
258284,Brooklyn,Entire home/apt,154
258397,Brooklyn,Entire home/apt,139
258686,Queens,Private room,75
258688,Manhattan,Entire home/apt,325
258690,Manhattan,Entire home/apt,195
258740,Manhattan,Private room,58
258838,Staten Island,Entire home/apt,250
258876,Staten Island,Private room,50
259946,Staten Island,Entire home/apt,125
260451,Brooklyn,Entire home/apt,70
260765,Manhattan,Entire home/apt,189
261194,Brooklyn,Entire home/apt,130
261259,Manhattan,Entire home/apt,145
261344,Manhattan,Private room,101
261674,Manhattan,Private room,95
261781,Manhattan,Entire home/apt,375
262343,Manhattan,Entire home/apt,153
262405,Brooklyn,Entire home/apt,92
262478,Manhattan,Private room,80
262583,Manhattan,Entire home/apt,300
263005,Brooklyn,Entire home/apt,145
263190,Manhattan,Private room,88
263232,Manhattan,Entire home/apt,155
263502,Brooklyn,Entire home/apt,185
263776,Queens,Private room,73
263888,Manhattan,Entire home/apt,225
264323,Manhattan,Private room,85
265036,Brooklyn,Private room,99
265064,Brooklyn,Private room,48
265145,Manhattan,Entire home/apt,200
265506,Manhattan,Entire home/apt,485
265831,Manhattan,Entire home/apt,310
265912,Brooklyn,Entire home/apt,110
266146,Manhattan,Entire home/apt,109
266155,Manhattan,Entire home/apt,167
266351,Brooklyn,Entire home/apt,147
266437,Manhattan,Entire home/apt,220
266449,Manhattan,Entire home/apt,195
266756,Manhattan,Entire home/apt,199
267376,Manhattan,Private room,65
267435,Queens,Private room,55
267535,Bronx,Private room,50
267652,Brooklyn,Private room,60
267708,Manhattan,Private room,99
268392,Manhattan,Entire home/apt,130
268481,Brooklyn,Entire home/apt,290
268868,Manhattan,Entire home/apt,350
269283,Brooklyn,Private room,50
269889,Queens,Private room,96
270139,Brooklyn,Private room,45
270231,Queens,Private room,85
270315,Brooklyn,Private room,34
270345,Manhattan,Entire home/apt,250
270680,Brooklyn,Private room,190
270681,Brooklyn,Private room,75
271083,Brooklyn,Entire home/apt,93
271128,Brooklyn,Private room,60
271130,Brooklyn,Private room,65
271694,Manhattan,Entire home/apt,125
271950,Manhattan,Entire home/apt,300
271954,Manhattan,Entire home/apt,150
272026,Manhattan,Entire home/apt,56
272044,Manhattan,Entire home/apt,299
272427,Brooklyn,Private room,60
272706,Brooklyn,Entire home/apt,88
272738,Brooklyn,Private room,60
273190,Manhattan,Entire home/apt,1300
273256,Manhattan,Private room,200
274062,Manhattan,Private room,99
274329,Brooklyn,Entire home/apt,110
274376,Brooklyn,Entire home/apt,135
274743,Manhattan,Entire home/apt,110
275976,Brooklyn,Entire home/apt,165
276216,Brooklyn,Entire home/apt,127
276317,Brooklyn,Entire home/apt,402
276482,Manhattan,Private room,85
277207,Brooklyn,Private room,75
277370,Manhattan,Entire home/apt,139
277883,Brooklyn,Entire home/apt,70
278090,Manhattan,Private room,50
278145,Queens,Private room,30
278631,Manhattan,Entire home/apt,250
278876,Brooklyn,Private room,64
279093,Manhattan,Entire home/apt,300
279857,Brooklyn,Entire home/apt,800
279969,Brooklyn,Entire home/apt,100
280315,Brooklyn,Entire home/apt,250
281521,Manhattan,Entire home/apt,200
281756,Brooklyn,Entire home/apt,140
281851,Manhattan,Private room,130
282341,Brooklyn,Entire home/apt,90
282443,Manhattan,Entire home/apt,90
